Hospital Code,Hospital Name,Hospital Address,City,State,,
HA/GUR/NIDA02,Nidaan Hospital And Trauma,"Near N.B.G.S.M College, Sohna",Gurugram,Haryana,,
HA/HIS/CMC 10572,Cmc Hospital (Central Medical,"Dabra Chock, Delhi Road, Opp Red Cross",Hisar,Haryana,,
MA/GWA/SHRI01,Shri Krishna Hospital,"Pavansut Colony, Near, Sachin Tendulkar",Gwalior,Madhya Pradesh,,
UT/GHA/CHAN01,Chandra Laxmi Hospital Ltd.,"Plot # 337, Sector -4, Vaishali",Ghaziabad,Uttar Pradesh,,
PU/AMR/MANU02,Manu Arora Hospital,Manu Arora Hospital San Sahib Road Chheharta,Amritsar,Punjab,,
PU/AMR/NEW 01,New Life Hospital,Opp Guru Nanak Avenue Majitha Road,Amritsar,Punjab,,
PU/JAL/BALA01,Balaji Medicare Hospital,"132-A, Ashok Nagar, Near Shehnai Palace Basti",Jalandhar,Punjab,,
PU/AMR/VERM02,Verma Hospital,Meeran Kot Chownk Khairabad Road,Amritsar,Punjab,,
PU/BAT/ADES03,Adesh Institute Of Medical Science,Bhucho Khurd Barnal Road,Bathinda,Punjab,,
PU/AMR/NEEL03,Neelkanth Hospital,"Near Spring Dale School, Fatehgarh Churian",Amritsar,Punjab,,
PU/AMR/SAND04,Sandhu Lifecare Hospital,G T Road Chheharta Chowk,Amritsar,Punjab,,
TE/SHA/TIRU02,Tirumala Multispeciality Hospital,Plot No 47 Apseb Colony Omkar Nagar Sagar,Shamshabad,Telangana,,
HA/BHI/RPS 01,Rps Hospital Maternity And,"Main Rohtak Bhiwani Road, Kharak Kalan",Bhiwani,Haryana,,
HA/BHI/LIFE18464,Life Care Multispeciality Hospital,"Opp. Pwd Rest House, Rohtak Road,",Bhiwani,Haryana,,
MA/CHH/GAUR02,Gaurav Hospital,"2-A Rani Bagh , Sector A , Ahead Of Radha",Indore,Madhya Pradesh,,
HA/ROH/PRAG01,Pragati Hospital,"Sukhpura Chowk, Gohana Road, Opp Ladhot",Rohtak,Haryana,,
RA/JHU/R AN01,R And R Multispeciality Hospital,23 Churur Road,Jhunjhunun,Rajasthan,,
OR/BAL/DURG01,Durga Nursing Home & Research,Vivekananda Marg,Baleshwar,Odisha,,
RA/BHI/PORW01,Porwal Hospital Pvt Ltd.,"Love Garden Road, R.C. Vyas Colony,",Bhilwara,Rajasthan,,
UT/GHA/RELI02,Reliable Hospital,"K-112, Sec-12, Pratapvihar Ghaziabad",Ghaziabad,Uttar Pradesh,,
TE/HYD/RAMY01,Ramya Nursing Home,"8-5-217, Plot No-8, Old Bowenpally,",Hyderabad,Telangana,,
HA/KAR/AMRI01,Amritdhara Hospital Private Limited,Chaura Bazar,Karnal,Haryana,,
HA/SON/KRIS03,Krisha Hospital,"Auchandi Delhi Border Road, Saidpur, Sonipat",Sonipat,Haryana,,
HI/BAD/THAK23515,Thakur Hospital,"Near Officer Colony, Vardhman Tehsil Baddi",Baddi,Himachal Pradesh,,
RA/BHA/SHRE01,Shree Ram Hospital And Research,"Bharatpur Road, Roopbas",Roopbas,Rajasthan,,
KA/BAN/DIVI13550,Divine Care Multi Speciality,"Sy No.332/3, Pipeline Road,Kothanur Post,",Bangalore,Karnataka,,
UT/MEE/SANT1341,Santosh Hospital,"L-62/631,Shastrinagar",Meerut,Uttar Pradesh,,
UT/MEE/APUS01,Apusnova Multispeciality Hospital,"C-6,Rakshapuram,Mawanaroad",Meerut,Uttar Pradesh,,
UT/GAU/KUMA03,Kumar Hospital (A Multispeciality,Opp Rama Cinema Near Suraj Band Railway,Dadri,Uttar Pradesh,,
HA/GUR/JYOT05,Jyoti Hospital And Trauma Centre,121/3 Pataudi Road Farrukh Nagar,Farrrukhnagar,Haryana,,
DE/WES/AAKA01,Aakash Eye And General Hospital,"A-116,, Arjun Park, (Opp. Aakash Public School)",New Delhi,Delhi,,
DE/SOU/SING01,Singhal Hospital,"C 40, Street no. 9 Sadhnagar(Near desu office),",New Delhi,Delhi,,
RA/ALW/GETW187,Getwell Hospital & Trauma Centre,"Near Chinar Hotel, Nh 8",Alwar,Rajasthan,,
DE/EAS/SMS 02,Sms Hospital,15 Gagan Vihar,New Delhi,Delhi,,
HA/REW/UJJW02,Ujjwal Hospital And Maternity,Rewari,Rewari,Haryana,,
HA/MAH/SPAR01,Sparsh Hospital,Bawal,Rewari,Haryana,,
HA/ROH/SHIV03,Shiva Health Care Hospital,"Jind Bye Pass Road , Rohtak",Rohtak,Haryana,,
HA/BHI/AMAN01,Aman Hospital,Vpo -Kitlana,Bhiwani,Haryana,,
HA/GUR/MAMT01,Mamta Hospital,"877/2,Mataroad",Gurugram,Haryana,,
HA/CHA/YADA01,Yadav Hospital & Maternity Home,"Rohtakroad,Charkhidadridistt:Bhiwani",Charkhi Dadri,Haryana,,
HA/REW/GALA01,Galaxy Hospital & Trauma Centre,Bawalindusrialarea,Bawal,Haryana,,
HA/KAR/SATY01,Satyam Hospital,Karnal Road Near Civil Hospital Assandh,Assandh,Haryana,,
Hospital Code,Hospital Name,,Hospital Address,City,Effective,
RA/JOD/SATY01,Satyam Hospital And Research,,"26, Pokaran House Opp.Railway Hospital",Jodhpur,13-Jan-23,
HA/JHA/MEDI2130,Medicare Super Speciality Hospital,,"Opp. Pwd ruest house, Dadri road",Jhajjar,13-Jan-23,
HA/JIN/METR02,Metro Jind Hospital And Icu,,Old Trupti Building Opp Lic Building Near Court,Jind,13-Jan-23,
HA/FAR/BARE01,Bareja Hospital,,Fatehpur Billoch,Ballabgarh,13-Jan-23,
HA/KAR/OM H01,Om Hospital,,Ram Nagar Assandh,Karnal,13-Jan-23,
HA/GUR/SHRI2396,Shri Kailash Hospital,,Bhangrola,Manesar,13-Jan-23,
RA/ALW/BMR 02,Bmr Hospital,,1/14 Uit Road Sect. 1 Bhiwadi Alwar,Bhiwadi,13-Jan-23,
HA/GUR/CHAU01,Chauhan Hospital,,"Near Chungi No 4, Tauru Road, Teh. Pataidi,",Pataudi,13-Jan-23,
HA/KAR/SWAS01,Swastik Hospital,Multispeciality,"Opp. Civil Hospital,Karnal-132001",Karnal,13-Jan-23,
HA/KAR/PRP 01,Prp Hospital Kidney Centre And,,"Opp. Civil Hospital, Karnal",Karnal,13-Jan-23,
